,question,answer,ref,doc_id,dial_id
3986,"I see, and since when this exist?","This is effective since november 18, 2004.","[{'sp_id': '7', 'label': 'solution'}, {'sp_id': '8', 'label': 'solution'}]",Pay driver responsibility assessment#1_0,61588234e9c463a9e0705d34949253d5
4106,There will be need anything like a proof of ownership fr the car?,"Yes, you will need it. The the proof of ownership is needed to register and tittle a vehicle in the new york state, so you need to get it at the purchase.","[{'sp_id': '16', 'label': 'solution'}, {'sp_id': '17', 'label': 'solution'}, {'sp_id': '18', 'label': 'solution'}]",Buy or sell a vehicle (transfer ownership)#3_0,0f65528c36dcbf84099a6c42b00cd0aa
2391,I want to become a driving school instructor and I have questions about the Driving School Instructor Certificate.,Have you passed all the required tests?,"[{'sp_id': '75', 'label': 'precondition'}]",Become a driving school instructor#3_0,02421cf6ac9421b7fc6f59c7c5727d56
3718,I'm here with a question about my vehicle plates.,Do you wish to know how to replace or transfer your personalized plates?,"[{'sp_id': '2', 'label': 'precondition'}]",Replace or transfer personalized plates#1_0,5f4ff24e6cddeebf1a33c27878bc1b12
1293,What happens if my ATV has studded tires?,"You may only use studded tires in the following situations: In a tree nursery or planting in a manner which damages or destroys growing stock or creates a substantial risk of damage or destruction. Within 100 feet of a dwelling between midnight and 6 A.M. at a speed greater than necessary to keep the ATV moving. While pulling a person on skis , a toboggan , sleigh , sled or trailer , unless the device is attached to the ATV by a tow - bar or other rigid connection","[{'sp_id': '168', 'label': 'solution'}, {'sp_id': '169', 'label': 'solution'}, {'sp_id': '170', 'label': 'solution'}]",ATVs: Information for Owners and Operators#3_0,649032bc2512fdd8b2334bf44e45486e
2608,and can you pay by mail?,"In some cases, you can pay by mail.","[{'sp_id': '27', 'label': 'solution'}, {'sp_id': '28', 'label': 'solution'}]",Pay suspension termination fee#1_0,bae59933b8370586071a065fa2f267d3
3961,I need help with paying my driver responsibility assessment.,Do you need more information about what a driver responsibility assessment is?,"[{'sp_id': '2', 'label': 'precondition'}]",Pay driver responsibility assessment#1_0,27f5627eeda73f6df25a5df6a900de6a
3341,I want to register my Titan as a passenger class vehicle,Would you like to find out if you are able to register your pick-up truck as a passenger class vehicle?,"[{'sp_id': '2', 'label': 'precondition'}]",Register a pick-up truck as 'passenger' class vehicles#1_0,ccacb093e1465617bcd07ccabbb15498
2095,do you have more info on this that I can look at later?,"Yes, you can learn more about personalized plate fees, requirements and restrictions.","[{'sp_id': '4', 'label': 'solution'}, {'sp_id': '5', 'label': 'solution'}]",Order personalized plates#1_0,db2090f01f1e4ace1a9610907a3ce10c
1897,yes,"Okay, well a Consumer Services Rep from the DMV will contact you in an attempt to resolve this complaint. The CSR will explain the nature of the complaint and will also inform you of your rights, responsibilities, and your liability. ","[{'sp_id': '18', 'label': 'solution'}, {'sp_id': '19', 'label': 'solution'}]",About complaints and charges for dealer and transporter businesses#3_0,c17447a52ebcc2c372a58a7b7a839719
1599,"I'm having problems with a dealer, is there anywhere I could write and state my case","yes, here is the address...Bureau of Consumer and Facility Services , PO Box 2700-ESP , Albany , NY 12220 - 0700","[{'sp_id': '189', 'label': 'solution'}]",Let the Buyer be Aware#3_0,84552c09395d70e1a8d0089443ac1e6b
3690,yes,You need to contact a surety insurance company to get a surety bond. Make sure that the business name and mailing address on the bond exactly match the business name and mailing address on your DMV facility license. Don't forget to write your Facility Number on the bond,"[{'sp_id': '28', 'label': 'solution'}, {'sp_id': '29', 'label': 'solution'}, {'sp_id': '30', 'label': 'solution'}]",General information for dealers and transporters#3_0,00a5c946ae8807ce603d90cf53477196
2170,Hello. I have a few questions about registering a leased vehicle. Can you help me out?,Do you want to register a leased vehicle?,"[{'sp_id': '2', 'label': 'precondition'}]",Register a leased vehicle#1_0,ec6590e8534ca6e8cd0b87146cc38e0f
2404,would I have needed to pay again if I had failed a test?,"Once you submit an application you are allowed to take each of the Road Sign Test and Written Test twice, and the Behind-The-Wheel Instructor’s Driving Test once.  If you do not pass these tests, you will have to submit a new application and pay another $10 fee.","[{'sp_id': '70', 'label': 'solution'}, {'sp_id': '71', 'label': 'solution'}]",Become a driving school instructor#3_0,2c141b49331c8ec718bad2551822df40
2509,Great. Is there any way to contact with you for this?,You can call the NY state dmv insurance service bureau.,"[{'sp_id': '11', 'label': 'solution'}, {'sp_id': '12', 'label': 'solution'}]",Unsatisfied Judgments#3_0,0030130e28ffa336477d727bcfe67306
2279,What do I need if I decide to obtain one by mail?,"If you wish to obtain your abstract by mail, you'll need a completed Request for DMV Records PDF [ 11 ] MV-15 and a photocopy of your proof of identity.","[{'sp_id': '32', 'label': 'solution'}, {'sp_id': '33', 'label': 'solution'}, {'sp_id': '34', 'label': 'solution'}]",How to get my own driving record (abstract)#1_0,087f543df0c052e99cd870241fb8708d
3686,Hello I need information about how to get a deposit,Do you want information to obtain a deposit?,"[{'sp_id': '27', 'label': 'precondition'}]",General information for dealers and transporters#3_0,b121088d981579f154d2e7feb953c64e
1145,There are outstanding issues,"The death of a family member can be a busy and difficult time. When someone dies, they often leave outstanding issues that need to be resolved. On this page you ll find information that will help you take care of any issues with the deceased individual s driver s license and vehicle registration and title","[{'sp_id': '1', 'label': 'solution'}, {'sp_id': '3', 'label': 'solution'}, {'sp_id': '4', 'label': 'solution'}]",If a family member has died#3_0,3ebf20fb19d54ea211e093b63b066820
2666,yes,You have to come in to a DMV office to take care of it. ,"[{'sp_id': '24', 'label': 'solution'}]",Veteran status designation on a photo document#3_0,f29090a18fb89b3f42e3a4790f6154b3
3934,If you need to change your name to where can I do it?,You must go to a DMV office.,"[{'sp_id': '117', 'label': 'solution'}]",Pay driver responsibility assessment#1_0,af4189eedc547031c3f9455f3767d2f4
3955,No.,Are you the driver who is being required to pay?,"[{'sp_id': '6', 'label': 'precondition'}]",Pay driver responsibility assessment#1_0,ac49af082398d64eb8fc5f602fa07e40
1719,I need to get my CDL.,I will be happy to help guide you through the steps to getting your CDL.,"[{'sp_id': '2', 'label': 'solution'}]",Get a CDL#1_0,23acdcf01941637bbaab12cd56c2c926
3477,hello I would like to know What happens if I plead guilty to a violation that results in 5 or more points?,Do you have 3 or more alcohol related convictions in your entire driving record?,"[{'sp_id': '41', 'label': 'precondition'}]",Tickets received in New York City#3_0,eb8031b73d1d2466e4443b53ad5a5cfb
455,"To register a vehicle in New York, do I have to be a United States citizen? ",You do not have to be a United States citizen to register a vehicle in New York as long as you meet certain registration requirements.,"[{'sp_id': '61', 'label': 'precondition'}]",Register a vehicle I bought at a sheriff or marshal auction#3_0,39d0cb8aa7c9dcc745d1201f974f2ee5
918,Yes.,You may be required to install one on your vehicle.,"[{'sp_id': '48', 'label': 'solution'}, {'sp_id': '49', 'label': 'solution'}, {'sp_id': '50', 'label': 'solution'}]",About problem driver restrictions#3_0,386a74dfc19a8964374d1831787d624a
3062,"I've been wondering about something. Should I choose to remove my vehicle from the road, am I allowed to keep my professional plates?","Yes, you are. You can store your picture or professional plates at most DMV offices.","[{'sp_id': '30', 'label': 'solution'}, {'sp_id': '31', 'label': 'solution'}]",Learn about picture and professional plates#3_0,3cb442523b7afa002d1eed14b534d97c
1207,Can you tell me what those are?,"Please reference our website in the ""Contact"" links and it will show you the relevant areas.","[{'sp_id': '17', 'label': 'solution'}, {'sp_id': '18', 'label': 'solution'}]",Temporary surrender of vehicle plates (store plates for a season)#3_0,bd02dc5f84583e5da4b38a3e578ad7c4
1282,how to amend or replace a business license?,to amend the registration or get a replacement duplicate document for your current repair & body shop. does this apply to you?,"[{'sp_id': '2', 'label': 'precondition'}]",Amend or replace a business license for a repair or body shop#3_0,9a3a6d2e73938711f23d829fc0f57b6e
2383,if I don't pass the test, you will have to submit a new application including photos and $ 10 fee,"[{'sp_id': '73', 'label': 'solution'}]",Become a driving school instructor#3_0,cb15b94e53b111247fe20a37f7753385
37,"Hello, I recently moved with my family and I forgot to Update my address. I read an article about the Top 5 DMV mistakes people do, and figured out it'd be a problem if I don't update it. What can I do?","Hello. First, you have to report a change of address to DMV within ten days of having moved, for both the address associated with your license and all the addresses associated with each vehicle you have. ","[{'sp_id': '6', 'label': 'solution'}, {'sp_id': '7', 'label': 'solution'}]",Top 5 DMV Mistakes and How to Avoid Them#3_0,8b326c47087dfbec10f9ad1e4df1df2b
980,Do I give the new owner the original proof or a copy?,You can transfer the title certificate and give the new owner the original proof that any lien listed on the title certificate was satisfied. Keep a copy of the proof for your records,"[{'sp_id': '33', 'label': 'solution'}, {'sp_id': '34', 'label': 'solution'}]",Remove a lienholder from a title#1_0,6e91edb47249a4b649485b229fd3416d
989,Can I use these estimates for commercial vehicles?,Yes for both passenger and commercial.,"[{'sp_id': '15', 'label': 'solution'}, {'sp_id': '16', 'label': 'solution'}, {'sp_id': '17', 'label': 'solution'}]",Estimate registration fees and taxes#1_0,2d27ff1f6f4c80e6b1b0b357569cbdd3
2787,"And can I also do it in person, at the DMV office?","Yes, you can apply to replace IPR registration items at the DMV.","[{'sp_id': '67', 'label': 'solution'}]",Replace IRP registration items#1_0,fbd4e713586b44738ae49aa58d521868
1426,Can I get other types of inspections at inspection stations?,"It depends. If the vehicle needs the diesel emissions inspection, then they can't do any other inspections. Other than that though, the station can do other types of inspections. ","[{'sp_id': '30', 'label': 'solution'}]",Diesel inspections emission testing#3_0,e78805bd66070c7aa45778a9afcc550b
1568,How can I get reductions on insurance premiums?,wE WOULD LOVE TO HELP BUT IT VARIES PER INSURANCE COMPANY. Contact your insurance company or agent to learn if both reductions will be given at the same time,"[{'sp_id': '21', 'label': 'solution'}]",How insurance premium reduction works#3_0,f65b18e82869449704d72f458cc9bcee
39,"Ok. I'll pay the charges.I have another question: I'm planning on leaving the state next month, what  are the steps I should take? I don't want to leave the state without notifying DMV","Well, you need to know that States communicate with each other, so if you leave the state without notifying DMV will be aware of that. Before leaving the state, make sure to resolve any unaswered tickets, suspensions or revocations. 
You also have to surrender your license(s) plate(s) to NYS when you get to the new state. ","[{'sp_id': '15', 'label': 'solution'}, {'sp_id': '16', 'label': 'solution'}, {'sp_id': '17', 'label': 'solution'}]",Top 5 DMV Mistakes and How to Avoid Them#3_0,8b326c47087dfbec10f9ad1e4df1df2b
1494,No,Do you need more information on what to do if your traffic ticket is not available,"[{'sp_id': '26', 'label': 'precondition'}]",Get a copy of a TVB ticket#1_0,1b964f945520ff024c44e32c00f6d3d2
2661,"I want to get an ID card that has the word VETERAN on it, so what do I have to show to let you know I'm a veteran?",We accept a U.S. Department of Defense Form DD-214 that indicates an honorable discharge.  If you don't have one I can tell you what other documents we accept as proof.,"[{'sp_id': '8', 'label': 'solution'}, {'sp_id': '9', 'label': 'solution'}, {'sp_id': '10', 'label': 'solution'}]",Veteran status designation on a photo document#3_0,f29090a18fb89b3f42e3a4790f6154b3
169,"tell me about the sales tax, how can I determine the fee?","For this, you should add 3.25% to the fee listed on the cart and then change the result to the nearest 0.25$","[{'sp_id': '39', 'label': 'solution'}, {'sp_id': '40', 'label': 'solution'}, {'sp_id': '41', 'label': 'solution'}]","Commercial vehicle registration fees, vehicle use taxes and supplemental fees#3_0",14bf00331123b8ad7ddef90f7de8b081
1363,I need help with Driver REsponbility.,What specifically?,"[{'sp_id': '22', 'label': 'precondition'}]",The Impaired Driver Program - Alcohol & Drug Rehabilitation Program#3_0,cb7ec02c7812b230da02636ae396a72c
3364,My pick-up is rented or leased. What do I need to do?,You must submit a certification form provided by the leasing company or the truck owner stating that the truck will not be used for commercial purposes.,"[{'sp_id': '48', 'label': 'solution'}]",Register a pick-up truck as 'passenger' class vehicles#1_0,b78da37360f7c7d6cd1069a8e85c3a0f
3762,I'm in a DMV office. What now?,"You will receive a FS-6 T receipt when you deliver your custom license plates. Verify the information on the receipt and make sure the receipt shows the words ""Stored at the local office"" and keep this receipt. After that, we will indicate on the registration record that the vehicle plates have been stored","[{'sp_id': '36', 'label': 'solution'}, {'sp_id': '37', 'label': 'solution'}, {'sp_id': '38', 'label': 'solution'}]",Replace or transfer personalized plates#1_0,49690d6aa63e6ea9aaa73af0dcaaa904
2736, If i bought the vehicle from a NY State automobile dealer or an out - of - state dealer that is authorized to collect NY State sales tax, bring the dealer 's bill of sale that shows that you paid NY State sales tax .  Also bring a Dealer s Bill of Sale MV-50 NY State dealer only or a completed Sales Tax Exemption { Sales Tax Form } pdf at NY State Department of Tax and Finance DTF-803 for an out - of - state dealer,"[{'sp_id': '16', 'label': 'solution'}, {'sp_id': '17', 'label': 'solution'}]",Sales tax information#3_0,7478e96e633fd335fbb746376a2b558e
2750,When will the new registration expire?,The new registration expires on the same date as the original registration.,"[{'sp_id': '34', 'label': 'solution'}]",Transfer IRP registration#1_0,35733d9d72934c68941a955b5cff1524
1648,"Hello, I have several questions about renewing a CDL. ","Then you've come to the right place. I have to warn you though, your Standard CDL will not be accepted as proof of identification to board a domestic flight after October 1, 2020.","[{'sp_id': '2', 'label': 'solution'}, {'sp_id': '3', 'label': 'solution'}]",Renew a CDL#1_0,28e5a4c40a9aecf360bc94c817af1bd7
1298,What proof of ID do I need?,"You must provide proof of identity , date of birth , and at least six points of proof of name","[{'sp_id': '46', 'label': 'solution'}, {'sp_id': '47', 'label': 'solution'}]",ATVs: Information for Owners and Operators#3_0,649032bc2512fdd8b2334bf44e45486e
1388,can picture plates be personalized? ,yes. some picture plates can be personalized for an additional fee in addition to your picture and regular registration fee,"[{'sp_id': '33', 'label': 'solution'}, {'sp_id': '34', 'label': 'solution'}]",Learn about personalized plates#3_0,3da837b0591e482d6e25a78b350560ed
1941,How do I apply and what do I need?,You'll need to bring the completed waiver and other identification documents to your local DMV office to apply.,"[{'sp_id': '14', 'label': 'solution'}]",Get a military skills test waiver#1_0,1d847ac492d6f02b2033cfe8ce8be69b
582,Where should I mail all those documents?,"All of those documents including the Application for Duplicate Title PDF [ 4 ] MV-902 should be mail to Title Bureau NYS DMV PO Box 2750 Albany , NY 12220 - 0750.","[{'sp_id': '45', 'label': 'solution'}]",Replace a title certificate#1_0,ab100fe79c38824adbc1197afb6e194d
2941,"I had this ticked when I was older than 21, this makes any difference?",This driving violation is related to alcohol or drugs?,"[{'sp_id': '9', 'label': 'precondition'}]",Tickets received in another state#3_0,90c105446848fb9eb9aee4b856bab3ab
2038,yes, your insurance lapse is for 90 days or less,"[{'sp_id': '4', 'label': 'precondition'}]",Pay insurance lapse civil penalty#1_0,13f7a8967e81b8856f2b98d3c82f999d
897,What happens if I am convicted of an offence while driving out of restriction?,"In this instance, your license will be revoked","[{'sp_id': '66', 'label': 'solution'}]",About problem driver restrictions#3_0,171b8707b7ad963cdc20ece63c932763
784,What would cause a test to be cancelled? ,A test can be cancelled for various reasons including bad weather or road construction.,"[{'sp_id': '31', 'label': 'solution'}, {'sp_id': '32', 'label': 'solution'}, {'sp_id': '33', 'label': 'solution'}]",Schedule and take a road test#1_0,5737fd441d1cb3c83619456b7b2f23e2
159,"If my vehicle is registered here in new york, would that be a problem when I visit another state I have a insurance in? ","If your vehicle is registered in New York, it MUST have a New York insurance. If you go to texas (where you have a Insurance coverage) you'll have to first register the vehicle there, in order to be able to use their insurance. ","[{'sp_id': '48', 'label': 'solution'}]",New York State Insurance Requirements#3_0,d544d461086e7facc9fec5206cb6eadc
2,"Thanks, and in case I forget to bring all of the documentation needed to the DMV office, what can I do?",This happens often with our customers so that's why our website and MyDMV are so useful for our customers. Just check if you can make your transaction online so you don't have to go to the DMV Office.,"[{'sp_id': '49', 'label': 'solution'}, {'sp_id': '50', 'label': 'solution'}, {'sp_id': '52', 'label': 'solution'}]",Top 5 DMV Mistakes and How to Avoid Them#3_0,9f44c1539efe6f7e79b02eb1b413aa43
2852,I have some questions about paying TVB tickets.,I'll be happy to assist you with that. Do you have a TVB traffic ticket that was issued by NY City?,"[{'sp_id': '2', 'label': 'precondition'}]",Plead to or pay TVB tickets#1_0,562e8d16a74b549e93be54688b1b72c2
3449,Does an ATV need a vehicle registration?,Yes. You must have a valid NY State registration to ride your ATV in New York State,"[{'sp_id': '8', 'label': 'solution'}, {'sp_id': '9', 'label': 'solution'}, {'sp_id': '10', 'label': 'solution'}]",Register an ATV#1_0,7c8e7d7337c04f1db243599a95abdd88
853,Do i need to verify that before hand?,"Yeah, that's the correct thing to do. Besides, you need to find your proofs also.","[{'sp_id': '15', 'label': 'solution'}]",Get a license to drive a taxi or livery vehicle#3_0,4b1213f4e9256e0e65c01fbc6ed8e3b3
2515,I need more information,Once you receive the original documentation from the court or attorney ,"[{'sp_id': '5', 'label': 'solution'}, {'sp_id': '6', 'label': 'solution'}, {'sp_id': '7', 'label': 'solution'}]",Unsatisfied Judgments#3_0,4b25ee72552ef57a3a6aaef7acbfee0b
1604,What happens if I don't turn in my plates?,Your driver's license could be suspended.,"[{'sp_id': '178', 'label': 'solution'}]",Let the Buyer be Aware#3_0,26d4879fa8304344e8dcf15fd82c0fb7
1784,Yes,The DMV does not endorse these companies nor does it declare that the DMV has any association or supervision of these companies.,"[{'sp_id': '127', 'label': 'solution'}]",Open a dealership#3_0,ad27c9a442fd41de6b92fdc2ac516fb3
1921,yes I am,"You would be eligible for a senior driver license, Class D or M, if you have a junior driver license or limited junior driver license and have completed a state-approved high school or college driver education course. ","[{'sp_id': '37', 'label': 'solution'}]",The Graduated License Law and Restrictions for Drivers under 18#1_0,bacf4823f1b248dd0b87edc959d68914
1051,"This is a new car, so it is my first time paying the registration fee.","Okay. You will need to pay for your plate, which is $25, and you will need to pay for your title certificate, which is $50.","[{'sp_id': '4', 'label': 'solution'}, {'sp_id': '5', 'label': 'solution'}, {'sp_id': '6', 'label': 'solution'}]","Passenger vehicle registration fees, use taxes and supplemental fees#3_0",dc8dafa7a296a0cf01af470207979380
1552,Can I get them reduced?,"Yes, via a point reduction class or taking the road test over again.","[{'sp_id': '6', 'label': 'solution'}, {'sp_id': '7', 'label': 'solution'}, {'sp_id': '8', 'label': 'solution'}]",About point reduction#3_0,1393b6649d584ad93f95b0d442961d3a
3397,Yes,"You can register a car in the 'Commercial' class if all the seats behind the driver are removed. Instead of the seats, you must install a permanent box or permanent shelf to transport the load.","[{'sp_id': '18', 'label': 'solution'}, {'sp_id': '19', 'label': 'solution'}, {'sp_id': '20', 'label': 'solution'}]",Vehicle modifications and registration class#3_0,7303de8246489aa0698917ddae7b9df6
53,I just moved.  How long do I have to update my address?,You have 10 days to update your address.,"[{'sp_id': '5', 'label': 'solution'}, {'sp_id': '6', 'label': 'solution'}, {'sp_id': '7', 'label': 'solution'}]",Top 5 DMV Mistakes and How to Avoid Them#3_0,3314f46cb90d186ba3bc7a024e174c80
4029,"Hello, I have some questions and I hope you have answers for me.",Would you like to know more about the course?,"[{'sp_id': '10', 'label': 'precondition'}]",Point & Insurance Reduction Program#3_0,cf5318069120b8eeb773c6f76a80c755
1919,what if I don't do the restrictions?,Your junior learner permit or junior driver license could be suspended or revoked for 60 days.,"[{'sp_id': '8', 'label': 'solution'}]",The Graduated License Law and Restrictions for Drivers under 18#1_0,bacf4823f1b248dd0b87edc959d68914
3133,not,want to know what to do if a complaint is filed against you?,"[{'sp_id': '3', 'label': 'precondition'}]",A Guide for Facilities:#3_0,09560ca2496931240659cc20460797fe
3983,But how much do I have to pay for this offenses?,The amount to pay will depend on the type of violation or the total number of points on your driving record.,"[{'sp_id': '14', 'label': 'solution'}]",Pay driver responsibility assessment#1_0,61588234e9c463a9e0705d34949253d5
2829,yes," If you have 3 or more alcohol - related convictions on your entire driving record ,","[{'sp_id': '47', 'label': 'precondition'}]",Plead to or pay TVB tickets#1_0,3b1eaa5db0fd9b2b846f9a2956832c32
828,"No, not at all.","Ok.But you don't know what to do, right?","[{'sp_id': '14', 'label': 'precondition'}]",Traffic Violations Bureau#3_0,7335b199b6b8c6aa786efc882df66f4e
3742,"No, I don't.",Do you want to replace the personalized plates you have now with different personalized plates or personalized picture plates?,"[{'sp_id': '11', 'label': 'precondition'}]",Replace or transfer personalized plates#1_0,914907110ff0a5cef76608f601f0f166
1397,Is it expensive?,It depends on what type of plates you're getting.,"[{'sp_id': '4', 'label': 'solution'}, {'sp_id': '5', 'label': 'solution'}]",Learn about personalized plates#3_0,9398d6fe583a5f7511a5f65394a8af7d
3427,"When registering for an account, what are the conditions?"," You will abide by these Terms of Service ; and the Terms of Service and Acceptable Use Policy for the use of NY.gov ;
You certify that all identifying personal information provided to create or access your account is accurate , and pertains solely to you as the User of the account","[{'sp_id': '30', 'label': 'solution'}, {'sp_id': '31', 'label': 'solution'}, {'sp_id': '32', 'label': 'solution'}]",MyDMV Account Terms of Service#1_0,8d616cc1bf9df24bfbbfea398561faa1
2614,and where can I make this payment?,You can pay the suspension termination fee at the office or offices shown in your suspension order.,"[{'sp_id': '25', 'label': 'solution'}]",Pay suspension termination fee#1_0,a1fc0c232e566bf31c1fcf080539ce9c
1615,and there is no coverage outside of the state of new york?,"no, the reality is that we will never accept out-of-state insurance coverage of any kind for a vehicle registered in New York. we are sorry","[{'sp_id': '7', 'label': 'solution'}, {'sp_id': '8', 'label': 'solution'}]",Moving out of New York State#3_0,ccda92a211a346e051eb7082cc1003e4
1602,Can you tell me what proof of vehicle ownership is?,"Sure, proof of vehicle ownership is a Manufacturer's Certificate of Origin.","[{'sp_id': '151', 'label': 'solution'}]",Let the Buyer be Aware#3_0,26d4879fa8304344e8dcf15fd82c0fb7
775,How do I pay for an additional road test after failing the initial test?,You can pay for this either online or by phone,"[{'sp_id': '72', 'label': 'solution'}]",Schedule and take a road test#1_0,6e8153fac4c1b9ac155cc699e31c2699
2281,How to get my own driving record,Do you want to know what is a standard driving record?,"[{'sp_id': '2', 'label': 'precondition'}]",How to get my own driving record (abstract)#1_0,51c754b5b81501edeae73a0f025cd3da
1876,how is the hearing process,You are entitled to hire an attorney and to bring that attorney to the hearing. The DMV is the petitioner is this case and the complainant may be a witness for the case,"[{'sp_id': '35', 'label': 'solution'}, {'sp_id': '36', 'label': 'solution'}]",About complaints and charges for dealer and transporter businesses#3_0,b7c30b587338522cd213d30de7f8f070
1093,can i apply for an in transit permit?,you will need a proof of identity,"[{'sp_id': '18', 'label': 'solution'}]",In-transit vehicle permits (temporary registrations)#3_0,00c3cf12459d333bf1fae429a46d345e
2839,Can you tell me about any additional information that I may need about violations?,Do you need to learn about plead to or pay TVB tickets?,"[{'sp_id': '46', 'label': 'precondition'}]",Plead to or pay TVB tickets#1_0,19e85b78f70b09ba3d0070c746fd49b2
1333,When do I have to report an  ATV accident?,"You must report an accident if it causes over $1,000 worth of property damages or if it harms or kills someone.","[{'sp_id': '188', 'label': 'solution'}, {'sp_id': '189', 'label': 'solution'}]",ATVs: Information for Owners and Operators#3_0,f15d234d0915ce8e18daad5ba988713e
1471,What are the stipulations or rule son that law?,Sure! I can help answer that for you. ] Leandra 's Law includes the following provisions,"[{'sp_id': '11', 'label': 'solution'}]",Leandra's Law & ignition interlock devices#3_0,3428ee5d201a3791b9edd0f01bd827e1
810,"Hi, I just wanna know when i need to own a private bureau service license?","Sure. You need a PSB if you are a person, firm, association or corporation which is engaged assisting for hire securing licenses to drive motor vehicles, registration or titles of motor vehicles.","[{'sp_id': '2', 'label': 'solution'}]",About Private Service Bureau Licenses#1_0,313142a593338ff3caa47111939c5212
3985,"O.k., I get it. But how much can I pay by year?",the annual assessment is $250 and that's the minimum amount.,"[{'sp_id': '16', 'label': 'solution'}, {'sp_id': '17', 'label': 'solution'}, {'sp_id': '18', 'label': 'solution'}]",Pay driver responsibility assessment#1_0,61588234e9c463a9e0705d34949253d5
2592,Hello I need information about Should I add these icons to my DMV photo document?,do not,"[{'sp_id': '17', 'label': 'solution'}]",NY State Adventure License FAQs#3_0,421fdcb306a1380283d219f9ad00e9fc
2116,"But, I have doubts about how do I get sure nobody else use my plates?",You need to make sure to mark them with permanent ink pen and do not put both vehicle plates in the recycling/garbage on the same day.,"[{'sp_id': '59', 'label': 'solution'}, {'sp_id': '60', 'label': 'solution'}, {'sp_id': '61', 'label': 'solution'}]",Order personalized plates#1_0,c1a4cbc482f5e6d6d19caba91b065233
2961,do not,Is your first license valid for 5 years?,"[{'sp_id': '79', 'label': 'precondition'}]",Get a driver license#1_0,cdc220538442a011edcd39f4bb1849a2
4110,What must the seller do when transferring ownership to me? ,The seller must either complete and sign the transfer ownership section of the title certificate and sign a bill of sale or provide other acceptable proofs of ownership and transfer of ownership. ,"[{'sp_id': '6', 'label': 'solution'}, {'sp_id': '7', 'label': 'solution'}]",Buy or sell a vehicle (transfer ownership)#3_0,1cc37c01d21e812f09e41cf072edb432
2242,Is there another way to renew?,"Yes, you can do it online.","[{'sp_id': '19', 'label': 'solution'}]",How to renew a registration#1_0,118cb47d996f2b8468135d39f6ef8253
969,"No, I did not sell a vehicle.",Would you like to receive a lien free title?,"[{'sp_id': '7', 'label': 'precondition'}]",Remove a lienholder from a title#1_0,ceb187348a7c90466b205d3d617af0cc
399,What if I fail to answer a parking ticket?,"In cases like that, the locality can inform the DMV and this can prevent the renewal of your vehicle's certification and even suspend your vehicle registration.","[{'sp_id': '65', 'label': 'solution'}, {'sp_id': '66', 'label': 'solution'}]",Registrations#3_0,0229864e9ffa4a94a691f63cba7eac53
3919,and once the seller signs it over it is mine even if I haven't put in the paperwork?,"Once the seller signs on the line for ""Seller's Signature,"" the vehicle will immediately belong to the new owner.","[{'sp_id': '172', 'label': 'solution'}]",Information and Instructions About Your Certificate of Title#3_0,9b2e711165d1275583a1036ebbeae2b1
707,Will I be able to talk to a person?,a Consumer Services Representative from the DMV will contact you in an attempt to resolve this complaint .,"[{'sp_id': '19', 'label': 'solution'}, {'sp_id': '20', 'label': 'solution'}]",About complaints and charges for repair and body shops#3_0,0798514c62af253f03ad00e163e27a2b
433,Where can I find more help regarding specific information related to registering various types of vehicles,The information you are looking for can be found on the webpages that are listed on this page,"[{'sp_id': '59', 'label': 'solution'}]",Register a vehicle I bought at a sheriff or marshal auction#3_0,b46ae2e9e87567feb59441ee1d3df031
292,How would I go about getting a refund for my surrendered vehicle plates?,I can give you an example to explain how your refund amount is determined,"[{'sp_id': '14', 'label': 'solution'}]",Refunds and transfer credits for surrendered plates#3_0,0da1f89b54d23d6bb660484e05c6c309
3949,"No, thank you.",Do you know if you are required to pay or not?,"[{'sp_id': '6', 'label': 'precondition'}]",Pay driver responsibility assessment#1_0,72c2f359094066c0c0168901202f9c85
145,Do I need insurance to register my car?,Yes. New York law requires that you have auto liability insurance coverage.,"[{'sp_id': '3', 'label': 'solution'}]",New York State Insurance Requirements#3_0,ce03f757b42419a8ebb693d7c9627d47
2849,so I can just do it online?,"Yes, you can do it online, by phone, by mail or at a TVB office.","[{'sp_id': '51', 'label': 'solution'}]",Plead to or pay TVB tickets#1_0,435674b585d925f2a6708b2636d3afac
2041,ok so what can i do,You can check the status of your driving privilege and vehicle registrations through MyDMV,"[{'sp_id': '8', 'label': 'solution'}, {'sp_id': '9', 'label': 'solution'}, {'sp_id': '10', 'label': 'solution'}]",Pay insurance lapse civil penalty#1_0,13f7a8967e81b8856f2b98d3c82f999d
3832,"Yes, I need to know the information about denial of my driver license application by the DIU.",You have four options when it comes to denial and the first option is to accept the denial and take no further action.,"[{'sp_id': '242', 'label': 'solution'}, {'sp_id': '243', 'label': 'solution'}]",Restore license after revocation#1_0,d7a9a49fa32d48bebe977a09b52af78e
1173,Where can I find more information about the CDL Permit Rule?,"Information on the CDL Permit Rule can be found in 49 CFR Parts 383, 384, and 385. Information is also posted on the Federal Register.","[{'sp_id': '96', 'label': 'solution'}, {'sp_id': '97', 'label': 'solution'}, {'sp_id': '98', 'label': 'solution'}]",New CDL testing and commercial learner permit (CLP) standards#3_0,8486f022b606cd37e938c30e03d26d4b
2058,How can I find out more about this topic?,You can find more information online at our website under Insurance. ,"[{'sp_id': '43', 'label': 'solution'}]",Pay insurance lapse civil penalty#1_0,662103b68302ab1ea9d5066f8b0c7a8c
