question,answer,model_answer,attribution
"Wow, is good to know that. Oh, what about if  i get robbed my license, can i get a replacement?","Well, in fact you can get a free replacement. You must go to a police agency, and ask for the form MV-78B. I must remark that you will only get that form from police, not from DMV.","You can replace your license or permit including commercial and enhanced if it was lost, stolen or destroyed, or after you update your address. You can't replace your document if it is expired. If you are turning 21 soon, order within 40 days of your birthday. If you plan on traveling We recommend you come to the DMV now to get an Enhanced or REAL ID, and avoid a second office visit later.","Replace license or permit[1] 
You can replace your license or permit including commercial and enhanced if it was lost, stolen or destroyed, or after you update your address."
"In that case, could i just waive the fee, being my license lost due to a crime?","If that what you want to do, then you must apply for that in aDMV office, showing a MV-78B form along with your application.",Yes,
"Ok, i'm taking notes about it. Now. a last question, It is possible to get my license delivered to another address not being listed?",It is indeed possible. Just add a note and print the alternate address in a clear way. Don't use the form you are using for application to write the address. That must remain as is listed on your DMV record.,Yes,
What happens if I need to replace my license and I am overseas?,Will you be requesting a replacement license from overseas?,You must replace your license through the mail,"Overseas (out of the country, abroad) 
When overseas you must replace your license through the mail."
I am looking for information regarding a replacement license,"Your license or permit can be replaced if it is lost, stolen or destroyed. It cannot be replaced if it has expired",Yes,
Where can I get a REAL ID? ,Are you planning on using air travel in October of this year or beyond? ,a local airport,"If you request a replacement driver license 41 days or more before your 21st birthday , it will say UNDER 21."
I will be flying both internationally and domestically quite often.  Will I be required to have the REAL ID? ,Yes.  If you have a standard license you will not be allowed to board domestic flights beginning in October unless you have a passport. ,Yes,
"If I had a REAL ID, but it has been misplaced, can I replace it by mail? ","Yes, indeed, you can.  If you already have an Enhanced or REAL ID you can replace by mail and your document type will stay the same. ",Yes,
What is the charge associated with replacing a REAL ID by mail? ,"You should include a money order or check for $17.50 made payable to ""Commissioner of Motor Vehicles"". ",unanswerable,
What is the address for replacing a REAL ID by mail? ,"If you would like to accomplish that by mail, you can send your request and check or money order to NYS Department of Motor Vehicles, 207 Genesee Street, Suite 6, Utica, NY 13501-2874.",c.,Get your Enhanced or REAL ID today.
What forms of payment were acceptable for paying for the replacement of my REAL ID by mail? ,"If requesting by mail, you can include a check or money order. ",Enhanced or REAL ID,Get your Enhanced or REAL ID today.
What forms of payment would be accepted if I went to the DMV? ,"If you went to the DMV, you could pay by check or money order or you could pay using an American Express card, Discover card, MasterCard, MasterCard debit card, VISA Card, or Visa debit card. ",credit / debit card or a check or money order,"If you apply by mail or at a DMV office , you can pay by credit / debit card or a check or money order made out to Commissioner of Motor Vehicles."
How do I request to update to the REAL ID if I have just moved to a new address and need to replace my licenses anyway? ,"If you have recently moved, you need to first change your address and then order the replacement card.",You can request to update to the REAL ID by calling the DMV at (713) 686-3390.,"2 Learn about Enhanced, REAL ID and Standard documents [2]."
How can i replace my license or permit?,"Before you decide to have a replacement of your license or permit, you first need to satisfy the conditions for replacement. Did you just update your address? or did your license or permit were stolen, destroyed or lost?","You can replace your license or permit including commercial and enhanced if it was lost, stolen or destroyed, or after you update your address. You can't replace your document if it is expired. If you are turning 21 soon, order within 40 days of your birthday. If you plan on traveling We recommend you come to the DMV now to get an Enhanced or REAL ID, and avoid a second office visit later.","Replace license or permit[1] 
You can replace your license or permit including commercial and enhanced if it was lost, stolen or destroyed, or after you update your address."
No. I am turning 21 soon.,"If you are turning 21 soon, you can order within 40 days of your birthday date.",No,
"However, i am currently abroad. Can i mail my application?","Yes. You can mail it with a completed Application for Permit, driver license and payment of $ 17.50. Remember to send also pre - addressed priority mail return envelope to help ensure we send your license to the correct address.",Yes,
"So does that means, i will get my document through mail?",Yes. We will mail it to the current mailing address that we have. This is also to verify your change of address when needed.,yes,
I need the address for mailing,Do you need to update your own address?,MV-44,Don t write the alternate address on form MV-44.
No,Do you need to provide a temporary address?,You can't get an Enhanced or REAL ID.,"Replace at an office and get an Enhanced or REAL ID 
You don't have to get an Enhanced or REAL ID."
Yes,You can provide a temporary addresss when you order by mail or at a DMV office.,No,
What action do I follow if I am self-certified to driving types NI & NA?,"To confirm that you are self-certified to driving types NI & NA, you should have a medical certification status of either ""Certified"" or ""Not Certified""",change your driving type,What if my driving type changes?
"I received my Medical Examiner's Certificate back in the mail from the DMV along with a rejection letter, why is this?",The rejection letter explains why this was returned to you,I was a patient,Why did I receive my Medical Examiner s Certificate back in the mail with a rejection letter?
"What can I do if my CDL gets downgraded because of my ""not certified"" medical status?","In this instance, you will need to attend your local DMV office to upgrade your license back to a CDL",Visit a local DMV office,"If your CDL was downgraded because of your "" not certified "" medical status , you will need to visit a local DMV office to upgrade your license back to a"
"Hi, i'm need to know how i can do self- certify?",Sure. Are you a commercial driver or you are trying to self-certify to a non-excepted driving type NA or NI?,No,"No , you must go into a DMV office."
"No, i'm not any of those.","Ok. Please, can you tell me from the following, which are you trying to self-certify: Non-Excepted Interstate, Non-Excepted Intrastate, Excepted Interstate or Excepted Intrastate?",I am not a licensed driver.,"For example I am retired, not working, etc."
I'm going to apply for the NI certify. Can you tell me what i need to know about it?,"Well, if you are going for Non-Excepted Interstate, that would mean that you are in for commercial driving operations, being able to go across state lines. Also, you are required to meet the requirements from Federal Medical.",What is the NI driving type?,"NOTE: If you are capable of obtaining a Medical Examiner s Certificate , then the NI driving type will allow for the broadest commercial operation capability with no license restrictions applied."
"Right ,right. Well, thanks. Um, and what about changing my driving type?. I mean, if i want to change my self-certification, i can do it via online?","Sorry, but no. For that kind of request, you'll have to go to an DMV office.","No, you must go into a DMV office.","No , you must go into a DMV office."
"Oh, ok, that's a boomer. Fine, one more question. A little ago i sent to you my medical examiner's certificate and yesterday i received it back in my mail with a rejection letter, why's that?",You can find the rejection details by reading the letter. It's all explained in there.,I sent it to you because I was a boomer.,Why did I receive my Medical Examiner s Certificate back in the mail with a rejection letter?
"Yeah, hi, i'm looking for some info on self- certification.",Are you going to self-certify?,"Yes, I'm looking for some info on self- certification driving types.",What are the self-certification driving types?
"Yes, i want to do that.",That's ok. You'll be complying with the new federal regulations that require from all commercial drivers to certify to DMV the type of drive they are performing.,I'll go to the DMV office.,"No , you must go into a DMV office."
"Ok, thanks. In that regard, my CDL was recently downgraded because that lack of certification in my medical situation, can i have it back as it was before?","Yes, you can. You'll need to visit a local DMV office in order to upgrade back.",Yes,
"Got it. Um, i was told i need to be signed up into DMV's page to check my certification status, is that correct?","Well, it certainly will make your process more easy for you. Being signed up, you'll just need to go to License Status section, so you can determine how is it going with youe self-certification driving type, medical certification status and medical certification expiration date.",yes,
"Ah, certainly sounds great. I'll sign up later. Other thing, i'm not so good with dates, is any way you can remind me when some of my documents is about to expire?","No problem. DMV take care about that, sending you reminders about your CDL and medical certifications status and related information, including expiration dates.",I'll sign up later.,11.
"Great. what i need to do or where to go for sign up for those reminders, please?",You just need to make use of the Get mail and/or text reminders option in your DMV profile.,Get email and/or text reminders,"To register to receive these reminders , go to Get email and/or text reminders [4]."
"Yes, good afternoon. I need some guidance in self-certification, please.",No problem. Are you aware why you have to self-certify?,I'm interested in learning about the different types of self-certification.,What are the self-certification driving types?
"Yes, i think i know what is it about.","Just in case you don't have all the information, let me fill in for you. New federal regulations require from all commercial drivers to certify to DMV the type of driving they perform or expect to perform. From there the necessity of self certify.",I think I know what is it about.,"I work for a ""private"" company that provides school bus service to local school systems."
"Yeah, i know. I tried to do it already but i receive my medical examiner certificate back in my mail some days ago. That's why i wanted to ask here what happened.",You can find rejection's cause by reading the letter throughly.,I was wrong.,The rejection letter indicates why the Medical Examiner s Certificate is being returned to you.
Can you tell me what advantage i get sign in up for MyDMV?,"Sure. It can give you more control about your doings for check your certificate status, just checking under License Status.","I can look under "" License Status "" to determine your self - certification driving type, medical certification status and medical certificate expiration date","If you are signed up for MyDMV or sign up at go to MyDMV [5] at the DMV website and use the service called "" My License Status, Renewal and Replacement , "" you can look under "" License Status "" to determine your self - certification driving type, medical certification status and medical certificate expiration date."
"Umm, is there any way to receive reminders for this type of procedures?","Yes, there is. Use MyDMV and go to Get Mail and / or text reminders.",Yes,"Yes , DMV sends reminders to CDL and CLP holders who have registered to receive email and/or text reminders about the status of their medical certifications [2] and medical variances [3]."
I need more info on self-certification,Do you need to self-certify?,What are the advantages of self-certification?,What are the self-certification driving types?
No,Do you want to know the self-certification driving types?,No,"Non - Excepted Interstate NI : Commercial driving operation is permitted across state lines , and you are required to meet the Federal medical requirements Non - Excepted Intrastate NA : Commercial driving operation is restricted to New York State only , and you are required to meet the Federal medical requirements Excepted Interstate EI : Commercial driving operation is permitted across state lines for excepted operation only and you are exempt from the Federal medical requirements Excepted"
No,Do you want to know what happens if your driving type changes?,No,"Non - Excepted Interstate NI : Commercial driving operation is permitted across state lines , and you are required to meet the Federal medical requirements Non - Excepted Intrastate NA : Commercial driving operation is restricted to New York State only , and you are required to meet the Federal medical requirements Excepted Interstate EI : Commercial driving operation is permitted across state lines for excepted operation only and you are exempt from the Federal medical requirements Excepted"
Yes,If your driving type changes you must go into your local DMV office to change your self - certification driving type and have your license amended to add or delete the appropriate restrictions,No,"Non - Excepted Interstate NI : Commercial driving operation is permitted across state lines , and you are required to meet the Federal medical requirements Non - Excepted Intrastate NA : Commercial driving operation is restricted to New York State only , and you are required to meet the Federal medical requirements Excepted Interstate EI : Commercial driving operation is permitted across state lines for excepted operation only and you are exempt from the Federal medical requirements Excepted"
What do I do next if my driving type changes?," You must go into your local DMV office to change your self - certification driving type and have your license amended to add or delete the appropriate restrictions. A transaction fee will apply, if you are self - certifying to a non - excepted driving type NA or NI",Go into your local DMV office to change your self - certification driving type and have your license amended to add or delete the appropriate restrictions,"If your driving type changes , you must go into your local DMV office to change your self - certification driving type and have your license amended to add or delete the appropriate restrictions."
When will I know if the DMV has received my self-certification?,"DMV is entering commercial driver self - certification and medical certification data daily, however due to the volume of responses it could take a period of time for a driver record to be fully updated",after I have completed my self-certification,How do I know that the DMV received my self-certification and/or Medical Examiner s Certificate information?
"What happens if my CDL was downgraded because of your "" not certified "" medical status",You will need to visit a local DMV office to upgrade your license back to a CDL,You will need to visit a local DMV office to upgrade your license back to a,"If your CDL was downgraded because of your "" not certified "" medical status , you will need to visit a local DMV office to upgrade your license back to a"
Do I need a medical examiners certificate?, If you expect to operate in an excepted driving type EA or EI then a Medical Examiner s Certificate is not required. You will need to have the appropriate restrictions added to your driver s license A3 and/or K,Yes,
"i'd like to learn more about self-certification
","sure, what would you like to know?
",2.,What are the self-certification driving types?
why do i have to self-certify?,there are many different types of reasons you need to self certify. what would you like to know?,New federal regulations require all commercial drivers to certify to the Department of Motor Vehicles DMV the type of driving they perform or expect to perform,New federal regulations require all commercial drivers to certify to the Department of Motor Vehicles DMV the type of driving they perform or expect to perform.
I just want to know why i have to self certify. could you explain it a little bit more,there are many different types of self-certification driving. would you like to know the types?,New federal regulations require all commercial drivers to certify to the Department of Motor Vehicles DMV the type of driving they perform or expect to perform. Drivers that self - certify to a non - excepted driving type NA or NI are also required to submit a copy of their USDOT Medical Examiner s Certificate. This is a nationwide safety initiative that affects commercial driver in all states.,Drivers that self - certify to a non - excepted driving type NA or NI are also required to submit a copy of their USDOT Medical Examiner s Certificate.
"yes please, what if my driving type changes?",if your driving type changes you must go to you local DMV to change it ,yes,
I want more info on self-certification?,Do you want to self-certify?,"Yes, I want to know what self-certification is.",What are the self-certification driving types?
Yes,New federal regulations require all commercial drivers to certify to the Department of Motor Vehicles DMV the type of driving they perform or expect to perform. Drivers that self - certify to a non - excepted driving type NA or NI are also required to submit a copy of their USDOT Medical Examiner s Certificate,No,"Non - Excepted Interstate NI : Commercial driving operation is permitted across state lines , and you are required to meet the Federal medical requirements Non - Excepted Intrastate NA : Commercial driving operation is restricted to New York State only , and you are required to meet the Federal medical requirements Excepted Interstate EI : Commercial driving operation is permitted across state lines for excepted operation only and you are exempt from the Federal medical requirements Excepted"
Do I need to provide a Medical Examiner s Certificate if I work for the school system?,Do you operate in an excepted operation such as a school for a private service?,yes,
Yes,You can choose EI instead of Medical Examiners Cerificate in that case,No,"Non - Excepted Interstate NI : Commercial driving operation is permitted across state lines , and you are required to meet the Federal medical requirements Non - Excepted Intrastate NA : Commercial driving operation is restricted to New York State only , and you are required to meet the Federal medical requirements Excepted Interstate EI : Commercial driving operation is permitted across state lines for excepted operation only and you are exempt from the Federal medical requirements Excepted"
Does it include field trips?,"School operation is defined as "" school to home / home to school "" operation and includes interstate operation for school operation only. This does not include field trips. Only applicants employed by a municipality can drive for out - of - state field trips",No,
What driving type should I certify to if I have a valid DOT medical examiners certifcate?,ou should certify to the type of driving in which you operate or expect to operate and your CDL will have the restrictions for that driving type,a).,"I am eligible for an excepted operation, but I have a valid DOT Medical Examiner s Certificate."
"I would not want to commit a driver Violation Point System, so I would like to know what it is.",This system is for the state of New York to identify high-risk drivers. The DMV assigns points to these drivers each time they commit certain infractions.,The DMV assigns points for certain traffic violations,The DMV assigns points for certain traffic violations.
"I'm not sure how many points I have, how are those points calculated?","You must be convicted of the traffic violation before points are added to your driving record. Your point total is calculated based on the date of the violation , not the date of the conviction. The points for violations that all occurred within the last 18 months are added to calculate your point total.",check my points,Check My Points
Are there any violations that I could commit that are not worthy of points?,"Yes... bicycle violations, pedestrian violations and parking violations.",Yes,Points are not assigned for the following violations
What happens if I am in New York and receive more than 6 points in 18 months?,You must pay a Driver Responsibility Assessment fee.,you must pay a Driver Responsibility Assessment fee,"Driver Responsibility Assessment 
If you receive 6 or more points on your New York State driving record in 18 months , you must pay a Driver Responsibility Assessment fee [2]."
"A few months ago I was in another country and was convicted of a traffic violation, will I have problems here for that?","No, unless the violation you committed was in Ontario or Quebec.",no,
"Good morning. I heard about some driver points the other day, do you have any info about it?",Good morning. You are talking about the Driver Violation Point System. It's a system that allows the NYS DMV to identify high risk drivers and take pertinent actions against them. Works on an assigned points basis for certain traffic violations.,"The Driver Violation Point System gives the New York State DMV a way to identify and take action against high risk drivers. The DMV assigns points for certain traffic violations. If you get 11 points in an 18-month period, your driver license may be suspended. 1 However, the point system is not the only way to lose your license see Suspensions and Revocations [1].",The Driver Violation Point System gives the New York State DMV a way to identify and take action against high risk drivers.
"How i don't get points, by the way?","Well, you won't get any points in case of any of the following: any bicycle violation, any pedestrian violation or any parking violation.",You can request a DMV hearing to prove that you were not guilty of the violations,But you cannot request a DMV hearing to prove that you were not guilty of the violations.
"Ok, got it. Uh, and what happens if i'm out of NYS?","If the violation occurs outside NYS, your driving record won't be affected by the violation, because it's outside NYS jurisdiction. Only exception is, if the violation happens to be in Ontario or Quebec.",points are not added to your New York State driving record,"If you are convicted of a traffic violation in another state or country , points are not added to your New York State driving record, unless the violation occurred in Ontario or Quebec."
"Ok, thanks. May i know how my points are summed up, please?","Well, in first place, you must have a conviction by traffic violation. After that, points are added to your driving license. Second, the number of points to be added are based on your violation's date, not conviction's. And lastly,If the violation occurred within the last eighteen months, you'll certainly have those points added to your license.",I'm a runner.,Check My Points
"Hi, i got a ticket the other day and i was said i was going to get some points assigned to my license. What can you tell me about that?","No problem. Those points are representative for the Driver Violation Point System, a way for the DMV to identify high risk drivers and take pertinent actions against them.","The DMV assigns points for certain traffic violations. If you get 11 points in an 18-month period, your driver license may be suspended. 1 However, the point system is not the only way to lose your license see Suspensions and Revocations [1].","1 However , the point system is not the only way to lose your license see Suspensions and Revocations [1]."
"I heard about a Point Reduction Program thing, is that a real thing?","Yes, sure is. It's a DMV feature, which allows you to take a DMV- approved Point and Insurance Reduction Program that will help to prevent you lose your license in case you have already 11 or more points on your driving record.",yes,"Point and Insurance Reduction Program 
Taking a DMV - approved Point and Insurance Reduction Program PIRP course will help to prevent you from losing your license in the event you accrued 11 or more points on your driving record 4 points are' subtracted' for the purposes of a suspension if you have 11 or more points the tickets / pointsphysically come off your driving record save 10 percent on your automobile liability and collision insurance premiums Learn more about the PIRP course [3]."
"Oh, that's very nice of DMV. Say, what if i have a violation in my record and i didn't do it, but someone else did?","If you believe that is the case, you can make use of the hearing resource. but be aware that the hearing is not for probation of guilt or not.",You can request a hearing to prove that you were not guilty of the violations.,But you cannot request a DMV hearing to prove that you were not guilty of the violations.
"Oh, i see. Um, i'm dragging a out-of-state violation conviction, that does affect my driving record in any way?","Not at all. If you have any out-of-state conviction, it won't have any effect on you driving record. But if you were convicted on Ontario or Quebec, indeed it counts for your driving record.",yes,
"Hi, i was told something about a Driver Responsability fee, what's that?",The Driver Responsability Assessment fee is a special fee that you must pay if you receive 6 or more points on your NYS driving record in the last 18 months.,[2].,"Driver Responsibility Assessment 
If you receive 6 or more points on your New York State driving record in 18 months , you must pay a Driver Responsibility Assessment fee [2]."
"Yeah, that's my case, i have 8 points in my license.",Then you definitely must pay the fee.,I'm a high risk driver,The Driver Violation Point System gives the New York State DMV a way to identify and take action against high risk drivers.
"I was wondering, about a month ago i was convicted for a violation but it wasn't me, what can i do about it? Is there any resource i can use?","You can use the hearing resource for case revision. But if you're looking for a non-guilty outcome, i'm afraid DMV hearing isn't for that.",I can request a hearing,But you cannot request a DMV hearing to prove that you were not guilty of the violations.
Is there any way i can put down my points account?,There is. You have the Point and Insurance Reduction Program course. It's a DMV-approved course that will help to prevent you from losing your license in the event you accrued 11 or more points in your record.,yes,Check My Points
"Isn't that great, huh?.  Now please, if happens i'm out of the state and i'm convicted for any traffic violation, that will affect my record in NYS?","Don't you worry. Unless that violation occurred on Ontario or Quebec, any out-of-state conviction won't be adding any points to your driving record.",New York State has a reciprocal agreement with Quebec and Ontario.,New York State has a reciprocal agreement with Quebec and Ontario.
"I have a query in relation to the Driver Violation Point System, what exactly is it and how does it operate?",The Driver Violation Point System is a way for the DMV to highlight high risk drivers and allocate points for certain traffic violations that may occur,"The Driver Violation Point System gives the New York State DMV a way to identify and take action against high risk drivers. The DMV assigns points for certain traffic violations. If you get 11 points in an 18-month period, your driver license may be suspended. 1 However, the point system is not the only way to lose your license see Suspensions and Revocations [1].",The Driver Violation Point System gives the New York State DMV a way to identify and take action against high risk drivers.
"Hello, i was told to use this for getting info IRP registration and plates?",Are you looking to surrender an IRP registration to avoid renewing the registration?,no,
"Yes, i want to do that.","In that case, you must send your apportioned plates and the cab card to the address we give you.",Is this correct?,
And if i'm located in Albany?,Then you must surrender the IRP registration and delete the vehicle from your fleet along with the completion of form Schedule A&C.,Albany,Surrender an IRP registration at the Customer Service Counter in Albany
"Ok, thank you. Another question, i've paid fees in other jurisdictions, It is possible to get a refund for those IRP fees?","Yes, it is possible. With that intention, you must meet the following: the other jurisdiction made a mistake and that mistake is in your invoice and you paid the registration fees twice for just one vehicle. If you meet those, then a refund request is indeed possible.","Yes, you can.",How do I get a refund of the NY State portion of the IRP registration fees I paid to other jurisdictions?
I want information about how to surrender a an IRP registration please.,The reason for surrender is because you do not want to renew your registration?,IRP Registration,"Do it by mail: 
You can surrender your IRP registration by mail."
"Hello, I need to replace my title certificate. But I'm busy at work almost every day so I can't go to DMV, so I want to do that by mail, I already tried but I think I messed up. Could you help me with that?",Did you aready send any documents to DMV?,"Yes, I can help you.",Please make certain your contact information with the DMV is up to date.
"Yes, I sent two documents but It seems that either, those were wrong documents, or I missed some documents when I sent them. ","Ok, no problem. I'll tell you what documents you need to send; if you already sent one of the documents on the list, simply send the ones you didn't send. DMV save all of that, so when you submit the ones you missed DMV will start your process.
1)  A completed Application for Duplicate Title PDF  MV-902s
2) Proof of Identity: this can be a photocopy of your NY State driver license, driver permit, or non-driver ID. You can see the Title PDF ID-82 for more acceptable proofs. 
3 A personal check or money order for $20, paytable to Commissioner of Motor Vehicles
",Is there a way to get the documents back?,Replace a title certificate online [3 ]
"Thanks. I want my son to apply for a title certificate, but I'm lost and I don't know how to apply for it. I did mine, ages ago so It's out of my memory. ","You have to use the Application for Title Only PDF MV-82TON, and follow the instructions carefully. ",Is there anything else I can help you with?,Apply for a title certificate only
Would it be a problem if he moves later? He's already 18 and has plans on moving out. ,He'll have to change his address. ,No,You cannot order online if
What would he need to do update his address?Does he have to communicate with DMV or send them some items to their office? ,"He'll have to go to a DMV office and provide  a completed Application for Duplicate Title PDF MV-902s a proof of identity and $ 20.00 for the replacement fee. Pretty much the same for replacing a title certificate. 
",communicate with DMV,Please make certain your contact information with the DMV is up to date.
"Ok, one more question. Regarding my replacement title, I reckon I have some time today to go to a DMV office, I think it'll be faster than doing it by mail. Would I be issued my replacement immediately?","No, you won't be issued the replacement title while you are there. All title certificates are printed in a secure facility in Albany and are mailed to the owners. For this reason I suggest you stick to doing the whole process by mail, since it's faster and you can do it from the comfort of your home. ",No,
"Hey, i was looking for information to replace a title certificate using mail.",Are you sending any items to the DMV?,What is the best title to replace?,We print all title certificates in a secure facility in Albany and mail them to the vehicle owner.
"Yes, i'll do it.",Perfect. Then make sure you send a completed form MV-902 also know as Application for Duplicate Title.,"Yes, I'll do it.","This will cost extra , and you will need to sign for the delivery."
"Ok. And what about if i apply for a title certificate, instead?","For that scenario, You'll need to complete form MV-82TON or Application for Title Only. Make sure you read instructions carefully and follow them with accuracy.",I would be able to get a title certificate.,Apply for a title certificate only
"The same day i apply for it, i mean?","Sorry, but that would be a no. For practical reasons, all certificates are printed in a secure facility foreign to the DMV and then mailed to you. That way is more fast and easy.",the next business day after the weekend and/or state holiday,"order your title certificate during or before a weekend and/or a state holiday , the title certificate cannot be processed until the next business day after the weekend and/or state holiday."
"Um, sounds logical. In any case, what items i need to bring to DMV when i look for the replacement process?",You have to bring with you a completed Application for Duplicate Title or MV-902.,a new title,"Replace a title certificate[1] 
When you apply for a replacement title at a DMV office , we will NOT hand you a new title while you are there."
"I would like to get a replacement title certificate, can I do this by mail?",Have you already received documentation regarding the replacement of your title certificate?,Yes,
"If I apply for a replacement title certificate at the DMV office, can they issue the certificate to me there and then?","You cannot get the replacement title certificate issued to you in the DMV office, all replacement certificates are printed in a secure facility and are mailed to the owners. The quickest and easiest way to apply for a replacement certificate is to apply online",NO,
Can I order the replacement certificate online?,"To order a replacement title certificate online, you must be the owner of the vehicle, you must have a current UD address on file with the DMV and the vehicle in question must be registered and titled in New York State",Yes,
What happens if I apply for a replacement title certificate at a DMV office?,"You won't receive your replacement title certificate at the DMV office, they are printed at an off-site facility and are mailed to the owner",You will NOT be issued the replacement title while there,"You will not get your new title at the DMV 
When you apply for a replacement title at a DMV office , you will NOT be issued the replacement title while there."
Where is the replacement certificate sent if the registration for the vehicle is in my name?,"The re[placement is mailed to the address that is held on file for you. If you wish to amend this address, please do this online before replacing your title certificate",to the current address on your title record,We mail your new title to the current address on your title record.
I need further information about replacing a title certificate only,"For a title certificate only replacement, you must use the Application for Title Only PDF (6) MV-82TON and follow the instructions carefully",What is the process for replacing a title certificate?,Apply for a title certificate only
"Please, tell me about replacing a title certificate.",will you apply for a replacement title at a DMV office?,"When you apply for a replacement title at a DMV office, we will NOT hand you a new title while you are there. We print all title certificates in a secure facility in Albany and mail them to the vehicle owner.","Replace a title certificate[1] 
When you apply for a replacement title at a DMV office , we will NOT hand you a new title while you are there."
"yes, I need to apply for a replacement of a title certificate.","In that case, the DMV office won't hand you the new title while you are there. The DMV prints the title certificates in Albany and then mails them to the vehicle owner.",no,Apply for a title certificate only
what items do I need to bring to the DMV office?,"first, you need a completed Application for Duplicate Title form (PDF MV-902)",a replacement title,"Replace a title certificate[1] 
When you apply for a replacement title at a DMV office , we will NOT hand you a new title while you are there."
Can I get the replacement title faster using the express mail?,"Yes, we can send you the replacement title via express mail but you'll have to pay extra for it and you'll need to sign for the delivery.",No,
What can I do if I don't have a NY State Driver License Permit?,You still can provide other kinds of proof.,provide other kinds of proof,"If you don t have a New York State Driver License, Learner Permit, or Non - Driver ID , you can provide other kinds of proof [7]."
Can I cancel an online transaction after submitting it?,"Yes, but you can only cancel an online transaction the same day it was ordered.",No,You cannot order online if
"For the mailing of the new title, what if the registration for my vehicle is in my name.","In that case, you can add or change your address online and then replace your title.",change your address online [2] and then replace your title,"If the registration for your vehicle is in your name , you can first change your address online [2] and then replace your title."
what are the limitations of ordering online?,You can't order online if there was a title certificate processed in the past 15 days or the title certificate is a duplicate title requesting removal of a lien.,You cannot order online if you are a customer,You cannot order online if
Can I mail the paperwork?,Did you complete the form?,Yes,We mail to the address on the title record
I don't have the application.,Do you have the mailing address?,No,
"No, can you give it to me?",What is your location?,"No, I don't have the required documents.","By mail 


Send these items to the DMV 
a completed Application for Duplicate Title PDF [4] MV-902 proof of identity - this can be a photocopy of your NY State Driver License, Learner Permit, or Non - Driver ID see Proofs of Identify for Registration and Title PDF [5] ID-82 for other acceptable proof a personal check or money order for $20.00 payable to Commissioner of Motor Vehicles 

Mail to 


Receive by standard mail 
Title BureauNYS DMVPO Box 2750Albany , NY 12220 - 0750"
I would like to receive it by standard mail.,"Express mail would be quicker, would you like to use it?",I don't know.,We mail to the address on the title record
How to replace a title certificate?,"There are few ways to do this but if you choose to do this by mail, you need to send the completed Application for Duplicate Title PDF [ 4 ] MV-902, proof of identity and a personal check or money order of $ 20.00 payable to Commissioner of Motor Vehicles.",Apply for a title certificate only,Apply for a title certificate only
Where should I mail all those documents?,"All of those documents including the Application for Duplicate Title PDF [ 4 ] MV-902 should be mail to Title Bureau NYS DMV PO Box 2750 Albany , NY 12220 - 0750.",the address on the title record,We mail to the address on the title record
"If i choose to apply for a replacement title at a DMV office, will i get the new ones directly there?","You will not. The certificates will only be printed at Albany in a secure facility and mailed to the owner afterwards. Therefore, doing the application online saves your time and it is the easiest way to do it.",no,
"If i do it by mail, what document is suitable as my proof of identity?","The document could be a photocopy of your NY State Driver License, Learner Permit or you can refer to Proofs of Identify for Registration and Title PDF [ 5 ] ID-82 for other acceptable proof that is Non - Driver ID.",a New York State Driver License,"If you don t have a New York State Driver License, Learner Permit, or Non - Driver ID , you can provide other kinds of proof [7]."
Can i order online if my title certificate was processed last week?,"No. If it has been processed within the last 15 days, you could not proceed your order online.",no,
What if i do not have any Driver ID proof of identity?,You can still proceed using other kinds of proof which is Non - Driver ID proof.,you can provide other kinds of proof [7].,"If you don t have a New York State Driver License, Learner Permit, or Non - Driver ID , you can provide other kinds of proof [7]."
Is it possible change the address on my title record online?,"No. It is not possible. To update this, you need to contact Title Services Bureau at 1 - 518 - 486 - 4714.",Yes,
How do I replace a title?,You can apply at a DMV office.,Change your address online [2].,"If the registration for your vehicle is in your name , you can first change your address online [2] and then replace your title."
Will I get a new one while there.,"No, we mail them to you.",No,
Where will you mail them to.,To the address on file. You can replace them online.,the address on the title record,We mail to the address on the title record
So i can do it at the DMV also?,Yes but the fastest way to do it is online.,no,
How do I apply for a title only?,Use the PDF file and follow instructions carefully.,You can apply for a title certificate only by filling out the form below.,Apply for a title certificate only
Can I have them forwarded to a new address?,There is no guarantee the DMV will forward them. Please contact them with updated info.,no,there is no guarantee that the USPS will forward your DMV documents to the new address.
Where are certificates printed?,In a secure facility in Albany.,Albany,We print all title certificates in a secure facility in Albany and mail them to the vehicle owner.
Can I change the address online?,"No, you have to contact the Title Service Bureau.",Yes,
"Hi, good afternoon. Need some info about the escort driver certification.",Sure. Are you currently an escort driver?,Escort driver certification[1],Escort driver certification[1]
What do i need to go through to be certified as such driver?,"You need to be 21 years old or be older, in first place. Second, need to have a valid NYS driver license, or at least to have a valid license in the state or jurisdiction in which you are a resident. Last, but not least, you must pass the Escort Driver's Certification Test.",a driver's license,How do I get certified as an escort vehicle driver?
"Um, i see. I'll give a look into that. Now, lets say i have an escort driver license already, but it was issued in other state, It could be recognized in NYS, by any chance?",Are you going to operate a escort vehicle in NYS?,Yes,Does NY State recognize escort vehicle driver certifications issued in other states?
"Yeah, i'm looking to know more about escort driver certification.",Are you looking for requirements for that certification?,What is the certification?,Escort driver certification[1]
"Yes, that's correct. I want to know when i need one?",No problem. That certification is mandatory if you escort dimensional loads through highways in NYS  or if you act as a flag person for that type of load.,When I need one,
